dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_50,linear,0.001,,,1000,0.48222352797165513,0.5522084350232035,17.459419187856838
pca_50,linear,0.01,,,1000,0.49842090904712677,0.5211030270438641,12.479334017960355
pca_50,linear,0.1,,,1000,0.4871137880254537,0.522385329939425,9.12102705403231
pca_50,linear,1,,,1000,0.4806224477943033,0.5387844319920987,9.388427581172436
pca_50,linear,10,,,1000,0.4812439389061183,0.5399774690158665,8.770999007159844
pca_50,linear,100,,,1000,0.47947173984721303,0.5617247510235757,9.600851902971044
pca_50,linear,1000,,,1000,0.482488757930696,0.5619719841051847,9.491203904850408
pca_100,linear,0.001,,,1000,0.47640848183073103,0.7233737281057984,34.755939736030996
pca_100,linear,0.01,,,1000,0.4921547977719456,0.7125516419764608,27.68611924094148
pca_100,linear,0.1,,,1000,0.48118685791268945,0.7149428522679955,21.283780182013288
pca_100,linear,1,,,1000,0.4824635440018028,0.7279080329462886,21.02170086512342
pca_100,linear,10,,,1000,0.49210606701672077,0.7279980140738189,21.680299065075815
pca_100,linear,100,,,1000,0.4906939920037985,0.7273405001033098,21.12160333688371
pca_100,linear,1000,,,1000,0.4812216970603913,0.7340585738420486,21.23133515380323
pca_200,linear,0.001,,,1000,0.5199346877634525,0.8615637689363211,49.77900705602951
pca_200,linear,0.01,,,1000,0.4818227859213948,0.8447074817959219,37.69002454006113
pca_200,linear,0.1,,,1000,0.4772507220041007,0.8450170177966356,30.59730985504575
pca_200,linear,1,,,1000,0.4802986260037869,0.8597122230567038,30.64447774598375
pca_200,linear,10,,,1000,0.48058752599172294,0.8553622420877218,30.59552585799247
pca_200,linear,100,,,1000,0.48175135999917984,0.8581059600692242,30.55334745021537
pca_200,linear,1000,,,1000,0.4807409970089793,0.8615360620897263,30.569710111944005
lda,linear,0.001,,,1000,0.5488440918270499,5.2810629471205175,10.61508778296411
lda,linear,0.01,,,1000,0.48494661995209754,4.693086399929598,8.054114918923005
lda,linear,0.1,,,1000,0.48586601205170155,4.566994857043028,7.8257978048641235
lda,linear,1,,,1000,0.48641294799745083,4.508628043113276,6.049724068958312
lda,linear,10,,,1000,0.4860913408920169,4.4781369818374515,4.220340614207089
lda,linear,100,,,1000,0.49020361877046525,4.481915792217478,3.9450204698368907
lda,linear,1000,,,1000,0.4875544337555766,4.621425404213369,3.909690249012783
pca_50,rbf,0.001,0.001,,1000,0.5538919281680137,0.5453583938069642,48.70375338802114
pca_50,rbf,0.001,0.01,,1000,0.4795974928420037,0.5460321637801826,48.82741314009763
pca_50,rbf,0.001,0.1,,1000,0.47953183576464653,0.6013100631535053,49.07161799399182
pca_50,rbf,0.001,1,,1000,0.47851575491949916,0.5458629739005119,60.28475730190985
pca_50,rbf,0.001,10,,1000,0.4810297649819404,0.5466670109890401,49.90039508207701
pca_50,rbf,0.001,100,,1000,0.48101150593720376,0.5443411720916629,49.37707461719401
pca_50,rbf,0.001,1000,,1000,0.4809554300736636,0.5441472609527409,49.34375104517676
pca_50,rbf,0.01,0.001,,1000,0.4808715390972793,0.5454015892464668,45.46696778992191
