dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_50,linear,0.001,,,1000,1.020193200558424,0.7342784996144474,19.66125820018351
pca_50,linear,0.01,,,1000,1.0068751997314394,0.7437583999708295,13.001169200055301
pca_50,linear,0.1,,,1000,1.0475975000299513,0.7429204001091421,10.837838500272483
pca_50,linear,1,,,1000,0.9876603996381164,0.7133901999332011,12.577810700051486
pca_50,linear,10,,,1000,0.9709167005494237,0.748034399934113,11.869868000037968
pca_50,linear,100,,,1000,1.0094523001462221,0.7480167001485825,13.471168600022793
pca_50,linear,1000,,,1000,1.1129880002699792,0.8251569997519255,17.20539789972827
pca_100,linear,0.001,,,1000,1.4602554999291897,1.0227904003113508,54.30225059995428
pca_100,linear,0.01,,,1000,1.0059695998206735,0.8669284996576607,28.734280500095338
pca_100,linear,0.1,,,1000,0.9517694003880024,0.8233357002027333,28.794501999858767
pca_100,linear,1,,,1000,0.9024927001446486,0.844593099784106,30.30912660015747
pca_100,linear,10,,,1000,0.9114247001707554,0.8105611000210047,30.72451899992302
pca_100,linear,100,,,1000,0.9339919998310506,0.8605355001054704,30.703020400367677
pca_100,linear,1000,,,1000,0.9181388998404145,0.8262169999070466,30.547749999910593
pca_200,linear,0.001,,,1000,0.9217051998712122,0.9572075000032783,72.37031779997051
pca_200,linear,0.01,,,1000,0.9226171001791954,0.9224020000547171,51.5186181999743
pca_200,linear,0.1,,,1000,0.9522158997133374,1.0044359997846186,58.48713310016319
pca_200,linear,1,,,1000,0.9408875000663102,1.0048610004596412,56.48691579978913
pca_200,linear,10,,,1000,0.9172962000593543,0.9441629997454584,51.65185909997672
pca_200,linear,100,,,1000,0.9484369000419974,0.9362969002686441,56.43851629970595
pca_200,linear,1000,,,1000,0.9380570999346673,0.9064768999814987,52.09611239982769
lda,linear,0.001,,,1000,1.0650612995959818,5.843627899885178,15.045477599836886
lda,linear,0.01,,,1000,1.041313599795103,6.72182060033083,9.093998699914664
lda,linear,0.1,,,1000,0.9911438995040953,6.483454000204802,8.686724700033665
lda,linear,1,,,1000,0.9606474000029266,6.759457700420171,6.431877300143242
lda,linear,10,,,1000,1.0133438999764621,6.818674799986184,5.072831800207496
lda,linear,100,,,1000,0.9727216004393995,6.424540099687874,4.671086799819022
lda,linear,1000,,,1000,1.012510800268501,7.041238100267947,4.418049999978393
pca_50,rbf,0.001,0.001,,1000,0.4799404558725655,0.5225965690333396,50.14796893019229
pca_50,rbf,0.001,0.01,,1000,0.491754851071164,0.5231047510169446,50.17916286201216
pca_50,rbf,0.001,0.1,,1000,0.4790464108809829,0.5474178770091385,50.414538027951494
pca_50,rbf,0.001,1,,1000,0.4740235179197043,0.54985779710114,62.106439280090854
pca_50,rbf,0.001,10,,1000,0.47198284324258566,0.5496423209551722,51.08767014998011
pca_50,rbf,0.001,100,,1000,0.4738617578987032,0.5491163241676986,50.29648421891034
pca_50,rbf,0.001,1000,,1000,0.5156681127846241,0.5487479667644948,50.27893460216001
pca_50,rbf,0.01,0.001,,1000,0.47263264399953187,0.5481010316871107,50.13866565003991
pca_50,rbf,0.01,0.01,,1000,0.5107531810645014,0.5506561328656971,50.181143356021494
pca_50,rbf,0.01,0.1,,1000,0.5003339038230479,0.5482632322236896,50.338883448857814
pca_50,rbf,0.01,1,,1000,0.507908039027825,0.5492085728328675,62.14829536387697
pca_50,rbf,0.01,10,,1000,0.4728129899594933,0.5486769361887127,51.12444111192599
pca_50,rbf,0.01,100,,1000,0.47326076589524746,0.5476517709903419,50.369740947149694
pca_50,rbf,0.01,1000,,1000,0.47224556817673147,0.5503826779313385,50.35551875596866
